の, 助詞,連体化,*,*,*,*,の,ノ,ノ
私たち, 名詞,固有名詞,一般,*,*,*,私たち,ワタシタチ,ワタシタチ
日本, 名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
下, 名詞,接尾,一般,*,*,*,下,カ,カ
イラク, 名詞,固有名詞,地域,国,*,*,イラク,イラク,イラク
ビル, 名詞,一般,*,*,*,*,ビル,ビル,ビル
協力, 名詞,サ変接続,*,*,*,*,協力,キョウリョク,キョーリョク
考え, 動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ
釈放, 名詞,サ変接続,*,*,*,*,釈放,シャクホウ,シャクホー
文, 名詞,一般,*,*,*,*,文,ブン,ブン
とともに, 助詞,格助詞,連語,*,*,*,とともに,トトモニ,トトモニ
高層マンション, 名詞,固有名詞,一般,*,*,*,高層マンション,コウソウマンション,コーソーマンション
幼稚園, 名詞,一般,*,*,*,*,幼稚園,ヨウチエン,ヨーチエン
whom, 名詞,固有名詞,組織,*,*,*,*
法的, 名詞,形容動詞語幹,*,*,*,*,法的,ホウテキ,ホーテキ
対話, 名詞,サ変接続,*,*,*,*,対話,タイワ,タイワ
使う, 動詞,自立,*,*,五段・ワ行促音便,基本形,使う,ツカウ,ツカウ
米紙, 名詞,一般,*,*,*,*,米紙,ベイシ,ベイシ
今後, 名詞,副詞可能,*,*,*,*,今後,コンゴ,コンゴ
外国政府, 名詞,固有名詞,一般,*,*,*,外国政府,ガイコクセイフ,ガイコクセイフ
被害, 名詞,一般,*,*,*,*,被害,ヒガイ,ヒガイ
ワシントン・ポスト, 名詞,固有名詞,組織,*,*,*,ワシントン・ポスト,ワシントンポスト,ワシントンポスト
会話, 名詞,サ変接続,*,*,*,*,会話,カイワ,カイワ
米メディア, 名詞,固有名詞,一般,*,*,*,米メディア,ベイメディア,ベイメディア
新た, 名詞,形容動詞語幹,*,*,*,*,新た,アラタ,アラタ
理由, 名詞,一般,*,*,*,*,理由,リユウ,リユー
”, 記号,括弧閉,*,*,*,*,”,”,”
取材, 名詞,サ変接続,*,*,*,*,取材,シュザイ,シュザイ
火事, 名詞,一般,*,*,*,*,火事,カジ,カジ
なく, 形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク
持っ, 動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ
イスラム国, 名詞,固有名詞,一般,*,*,*,イスラム国,イスラムコク,イスラムコク
削除, 名詞,サ変接続,*,*,*,*,削除,サクジョ,サクジョ
ＣＮＮ, 名詞,固有名詞,組織,*,*,*,CNN,シーエヌエヌ,シーエヌエヌ
国営, 名詞,一般,*,*,*,*,国営,コクエイ,コクエイ
何, 名詞,数,*,*,*,*,何,ナン,ナン
外, 名詞,接尾,一般,*,*,*,外,ガイ,ガイ
SparkNotes, 名詞,一般,*,*,*,*,*
得, 動詞,自立,*,*,一段,連用形,得る,エ,エ
主要, 名詞,形容動詞語幹,*,*,*,*,主要,シュヨウ,シュヨー
かけ, 動詞,自立,*,*,一段,連用形,かける,カケ,カケ
離脱交渉, 名詞,固有名詞,一般,*,*,*,離脱交渉,リダツコウショウ,リダツコウショー
死者, 名詞,一般,*,*,*,*,死者,シシャ,シシャ
1, 名詞,数,*,*,*,*,*
適切, 名詞,形容動詞語幹,*,*,*,*,適切,テキセツ,テキセツ
価格, 名詞,一般,*,*,*,*,価格,カカク,カカク
事故, 名詞,一般,*,*,*,*,事故,ジコ,ジコ
救急, 名詞,一般,*,*,*,*,救急,キュウキュウ,キューキュー
増える, 動詞,自立,*,*,一段,基本形,増える,フエル,フエル
以来, 名詞,副詞可能,*,*,*,*,以来,イライ,イライ
含ま, 動詞,自立,*,*,五段・マ行,未然形,含む,フクマ,フクマ
務め, 動詞,自立,*,*,一段,連用形,務める,ツトメ,ツトメ
東部, 名詞,一般,*,*,*,*,東部,トウブ,トーブ
夜, 名詞,副詞可能,*,*,*,*,夜,ヨル,ヨル
同紙, 名詞,一般,*,*,*,*,同紙,ドウシ,ドーシ
崩壊, 名詞,サ変接続,*,*,*,*,崩壊,ホウカイ,ホーカイ
住ん, 動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン
相, 名詞,接尾,一般,*,*,*,相,ショウ,ショー
そう, 名詞,接尾,助動詞語幹,*,*,*,そう,ソウ,ソー
上院議員, 名詞,固有名詞,一般,*,*,*,上院議員,ジョウインギイン,ジョーインギーン
公開, 名詞,サ変接続,*,*,*,*,公開,コウカイ,コーカイ
多数, 名詞,副詞可能,*,*,*,*,多数,タスウ,タスー
2人, 名詞,固有名詞,一般,*,*,*,2人,フタリ,フタリ
持つ, 動詞,自立,*,*,五段・タ行,基本形,持つ,モツ,モツ
ディラン, 名詞,固有名詞,一般,*,*,*,ディラン,ディラン,ディラン
動機, 名詞,一般,*,*,*,*,動機,ドウキ,ドーキ
ホワイトハウス, 名詞,固有名詞,一般,*,*,*,ホワイトハウス,ホワイトハウス,ホワイトハウス
フェイスブック, 名詞,固有名詞,一般,*,*,*,Facebook,フェイスブック,フェイスブック
…, 記号,一般,*,*,*,*,…,…,…
建て, 名詞,接尾,一般,*,*,*,建て,ダテ,ダテ
維持, 名詞,サ変接続,*,*,*,*,維持,イジ,イジ
IS, 名詞,固有名詞,一般,*,*,*,IS,アイエス,アイエス
だけ, 助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ
生徒, 名詞,一般,*,*,*,*,生徒,セイト,セイト
1回, 名詞,固有名詞,一般,*,*,*,1回,イッカイ,イッカイ
パリ, 名詞,固有名詞,地域,一般,*,*,パリ,パリ,パリ
再, 接頭詞,名詞接続,*,*,*,*,再,サイ,サイ
求める, 動詞,自立,*,*,一段,基本形,求める,モトメル,モトメル
アレクサンドリア, 名詞,固有名詞,地域,一般,*,*,アレクサンドリア,アレクサンドリア,アレクサンドリア
韓国, 名詞,固有名詞,地域,国,*,*,韓国,カンコク,カンコク
銃, 名詞,一般,*,*,*,*,銃,ジュウ,ジュー
入居, 名詞,サ変接続,*,*,*,*,入居,ニュウキョ,ニューキョ
公聴会, 名詞,固有名詞,一般,*,*,*,公聴会,コウチョウカイ,コーチョーカイ
州, 名詞,接尾,地域,*,*,*,州,シュウ,シュー
によって, 助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
友人, 名詞,一般,*,*,*,*,友人,ユウジン,ユージン
バグダディ, 名詞,一般,*,*,*,*,*
行為, 名詞,サ変接続,*,*,*,*,行為,コウイ,コーイ
言及, 名詞,サ変接続,*,*,*,*,言及,ゲンキュウ,ゲンキュー
．, 名詞,数,*,*,*,*,．,．,．
とき, 名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ
事実, 名詞,副詞可能,*,*,*,*,事実,ジジツ,ジジツ
解放, 名詞,サ変接続,*,*,*,*,解放,カイホウ,カイホー
スタッフ, 名詞,一般,*,*,*,*,スタッフ,スタッフ,スタッフ
詳細, 名詞,形容動詞語幹,*,*,*,*,詳細,ショウサイ,ショーサイ
出, 動詞,自立,*,*,一段,連用形,出る,デ,デ
人たち, 名詞,一般,*,*,*,*,人達,ヒトタチ,ヒトタチ
ソウル, 名詞,固有名詞,地域,一般,*,*,ソウル,ソウル,ソウル
大統領選, 名詞,固有名詞,一般,*,*,*,大統領選,ダイトウリョウセン,ダイトーリョーセン
バター, 名詞,一般,*,*,*,*,バター,バター,バター
24階建て, 名詞,固有名詞,一般,*,*,*,24階建て,ニジュウヨンカイダテ,ニジュウヨンカイダテ
1人, 名詞,固有名詞,一般,*,*,*,1人,ヒトリ,ヒトリ
〕, 記号,括弧閉,*,*,*,*,〕,〕,〕
際, 名詞,非自立,副詞可能,*,*,*,際,サイ,サイ
５月, 名詞,副詞可能,*,*,*,*,5月,ゴガツ,ゴガツ
陣営, 名詞,一般,*,*,*,*,陣営,ジンエイ,ジンエイ
期待, 名詞,サ変接続,*,*,*,*,期待,キタイ,キタイ
大手, 名詞,一般,*,*,*,*,大手,オオテ,オーテ
ながら, 助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
ペソ, 名詞,接尾,助数詞,*,*,*,ペソ,ペソ,ペソ
ドナルド・トランプ, 名詞,固有名詞,人名,一般,*,*,ドナルド・トランプ,ドナルドトランプ,ドナルドトランプ
協議, 名詞,サ変接続,*,*,*,*,協議,キョウギ,キョーギ
続い, 動詞,自立,*,*,五段・カ行イ音便,連用タ接続,続く,ツヅイ,ツズイ
提訴, 名詞,サ変接続,*,*,*,*,提訴,テイソ,テイソ
記者, 名詞,一般,*,*,*,*,記者,キシャ,キシャ
メモ, 名詞,サ変接続,*,*,*,*,メモ,メモ,メモ
強い, 形容詞,自立,*,*,形容詞・アウオ段,基本形,強い,ツヨイ,ツヨイ
巡る, 動詞,自立,*,*,五段・ラ行,基本形,巡る,メグル,メグル
時間, 名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン
北部, 名詞,一般,*,*,*,*,北部,ホクブ,ホクブ
スローガン, 名詞,一般,*,*,*,*,スローガン,スローガン,スローガン
近郊, 名詞,一般,*,*,*,*,近郊,キンコウ,キンコー
外相, 名詞,一般,*,*,*,*,外相,ガイショウ,ガイショー
コメント, 名詞,サ変接続,*,*,*,*,コメント,コメント,コメント
承認, 名詞,サ変接続,*,*,*,*,承認,ショウニン,ショーニン
録音, 名詞,サ変接続,*,*,*,*,録音,ロクオン,ロクオン
米軍, 名詞,固有名詞,一般,*,*,*,米軍,ベイグン,ベイグン
状況, 名詞,一般,*,*,*,*,状況,ジョウキョウ,ジョーキョー
攻撃, 名詞,サ変接続,*,*,*,*,攻撃,コウゲキ,コーゲキ
所得, 名詞,一般,*,*,*,*,所得,ショトク,ショトク
元慰安婦, 名詞,固有名詞,一般,*,*,*,元慰安婦,モトイアンフ,モトイアンフ
側近, 名詞,一般,*,*,*,*,側近,ソッキン,ソッキン
伝える, 動詞,自立,*,*,一段,基本形,伝える,ツタエル,ツタエル
見方, 名詞,一般,*,*,*,*,見方,ミカタ,ミカタ
南部, 名詞,一般,*,*,*,*,南部,ナンブ,ナンブ
治療, 名詞,サ変接続,*,*,*,*,治療,チリョウ,チリョー
画像, 名詞,一般,*,*,*,*,画像,ガゾウ,ガゾー
もよう, 名詞,一般,*,*,*,*,模様,モヨウ,モヨー
バージニア州, 名詞,固有名詞,一般,*,*,*,バージニア州,バージニアシュウ,バージニアシュー
選, 名詞,接尾,一般,*,*,*,選,セン,セン
諸国, 名詞,一般,*,*,*,*,諸国,ショコク,ショコク
3, 名詞,数,*,*,*,*,*
なり, 動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ
その後, 名詞,副詞可能,*,*,*,*,その後,ソノゴ,ソノゴ
それ, 名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
DUP, 名詞,固有名詞,一般,*,*,*,DUP,ディーユーピィー,ディーユーピィー
住む, 動詞,自立,*,*,五段・マ行,基本形,住む,スム,スム
北アイルランド, 名詞,固有名詞,地域,一般,*,*,北アイルランド,キタアイルランド,キタアイルランド
北京, 名詞,固有名詞,地域,一般,*,*,北京,ペキン,ペキン
上層, 名詞,一般,*,*,*,*,上層,ジョウソウ,ジョーソー
’, 記号,括弧閉,*,*,*,*,’,’,’
サウジアラビア, 名詞,固有名詞,地域,国,*,*,サウジアラビア,サウジアラビア,サウジアラビア
ブリュッセル, 名詞,固有名詞,地域,一般,*,*,ブリュッセル,ブリュッセル,ブリュッセル
施設, 名詞,サ変接続,*,*,*,*,施設,シセツ,シセツ
３月, 名詞,副詞可能,*,*,*,*,3月,サンガツ,サンガツ
個人, 名詞,一般,*,*,*,*,個人,コジン,コジン
幹部, 名詞,一般,*,*,*,*,幹部,カンブ,カンブ
自分, 名詞,一般,*,*,*,*,自分,ジブン,ジブン
トランプ政権, 名詞,固有名詞,一般,*,*,*,トランプ政権,トランプセイケン,トランプセイケン
与え, 動詞,自立,*,*,一段,連用形,与える,アタエ,アタエ
重傷, 名詞,一般,*,*,*,*,重傷,ジュウショウ,ジューショー
巻き込ま, 動詞,自立,*,*,五段・マ行,未然形,巻き込む,マキコマ,マキコマ
文法, 名詞,一般,*,*,*,*,文法,ブンポウ,ブンポー
与党, 名詞,一般,*,*,*,*,与党,ヨトウ,ヨトー
カ国, 名詞,接尾,助数詞,*,*,*,カ国,カコク,カコク
ロシア当局, 名詞,固有名詞,一般,*,*,*,ロシア当局,ロシアトウキョク,ロシアトーキョク
ばかり, 助詞,副助詞,*,*,*,*,ばかり,バカリ,バカリ
直後, 名詞,副詞可能,*,*,*,*,直後,チョクゴ,チョクゴ
練習, 名詞,サ変接続,*,*,*,*,練習,レンシュウ,レンシュー
ボローニャ, 名詞,固有名詞,地域,一般,*,*,ボローニャ,ボローニャ,ボローニャ
目, 名詞,一般,*,*,*,*,目,メ,メ
〔, 記号,括弧開,*,*,*,*,〔,〔,〔
決定, 名詞,サ変接続,*,*,*,*,決定,ケッテイ,ケッテイ
続く, 動詞,自立,*,*,五段・カ行イ音便,基本形,続く,ツヅク,ツズク
マクロン, 名詞,固有名詞,一般,*,*,*,マクロン,マクロン,マクロン
追加, 名詞,サ変接続,*,*,*,*,追加,ツイカ,ツイカ
モスクワ, 名詞,固有名詞,地域,一般,*,*,モスクワ,モスクワ,モスクワ
昏睡, 名詞,サ変接続,*,*,*,*,昏睡,コンスイ,コンスイ
党首, 名詞,一般,*,*,*,*,党首,トウシュ,トーシュ
か国, 名詞,接尾,助数詞,*,*,*,か国,カコク,カコク
われわれ, 名詞,代名詞,一般,*,*,*,われわれ,ワレワレ,ワレワレ
表現, 名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
検討, 名詞,サ変接続,*,*,*,*,検討,ケントウ,ケントー
かも, 助詞,副助詞,*,*,*,*,かも,カモ,カモ
非難, 名詞,サ変接続,*,*,*,*,非難,ヒナン,ヒナン
出し, 動詞,自立,*,*,五段・サ行,連用形,出す,ダシ,ダシ
韓国政府, 名詞,固有名詞,一般,*,*,*,韓国政府,カンコクセイフ,カンコクセイフ
連邦捜査局, 名詞,固有名詞,一般,*,*,*,連邦捜査局,レンポウソウサキョク,レンポーソーサキョク
連邦, 名詞,一般,*,*,*,*,連邦,レンポウ,レンポー
目撃, 名詞,サ変接続,*,*,*,*,目撃,モクゲキ,モクゲキ
デモ, 名詞,サ変接続,*,*,*,*,デモ,デモ,デモ
形, 名詞,一般,*,*,*,*,形,カタチ,カタチ
一時, 名詞,副詞可能,*,*,*,*,一時,イチジ,イチジ
野球, 名詞,一般,*,*,*,*,野球,ヤキュウ,ヤキュー
市内, 名詞,一般,*,*,*,*,市内,シナイ,シナイ
6, 名詞,数,*,*,*,*,*
London, 名詞,固有名詞,一般,*,*,*,London,ロンドン,ロンドン
特別検察官, 名詞,固有名詞,一般,*,*,*,特別検察官,トクベツケンサツカン,トクベツケンサツカン
関与, 名詞,サ変接続,*,*,*,*,関与,カンヨ,カンヨ
フィリピン, 名詞,固有名詞,地域,国,*,*,フィリピン,フィリピン,フィリピン
訴訟, 名詞,サ変接続,*,*,*,*,訴訟,ソショウ,ソショー
選挙区, 名詞,固有名詞,一般,*,*,*,選挙区,センキョク,センキョク
負傷者, 名詞,固有名詞,一般,*,*,*,負傷者,フショウシャ,フショーシャ
選挙戦, 名詞,固有名詞,一般,*,*,*,選挙戦,センキョセン,センキョセン
地元, 名詞,一般,*,*,*,*,地元,ジモト,ジモト
称賛, 名詞,サ変接続,*,*,*,*,称賛,ショウサン,ショーサン
様子, 名詞,一般,*,*,*,*,様子,ヨウス,ヨース
ん, 名詞,非自立,一般,*,*,*,ん,ン,ン
扱い, 名詞,サ変接続,*,*,*,*,扱い,アツカイ,アツカイ
豊県, 名詞,固有名詞,一般,*,*,*,豊県,ホウケン,ホウケン
ごろ, 名詞,接尾,副詞可能,*,*,*,ごろ,ゴロ,ゴロ
しかし, 接続詞,*,*,*,*,*,しかし,シカシ,シカシ
Who, 名詞,固有名詞,組織,*,*,*,*
努め, 動詞,自立,*,*,一段,連用形,努める,ツトメ,ツトメ
上がっ, 動詞,自立,*,*,五段・ラ行,連用タ接続,上がる,アガッ,アガッ
“, 記号,括弧開,*,*,*,*,“,“,“
かかる, 動詞,自立,*,*,五段・ラ行,基本形,かかる,カカル,カカル
アラブ諸国, 名詞,固有名詞,一般,*,*,*,アラブ諸国,アラブショコク,アラブショコク
末, 名詞,接尾,副詞可能,*,*,*,末,マツ,マツ
外壁, 名詞,一般,*,*,*,*,外壁,ガイヘキ,ガイヘキ
否定, 名詞,サ変接続,*,*,*,*,否定,ヒテイ,ヒテイ
プルイット, 名詞,一般,*,*,*,*,*
出火, 名詞,サ変接続,*,*,*,*,出火,シュッカ,シュッカ
超, 名詞,接尾,一般,*,*,*,超,チョウ,チョー
現地, 名詞,一般,*,*,*,*,現地,ゲンチ,ゲンチ
報告, 名詞,サ変接続,*,*,*,*,報告,ホウコク,ホーコク
意向, 名詞,一般,*,*,*,*,意向,イコウ,イコー
国境, 名詞,一般,*,*,*,*,国境,コッキョウ,コッキョー
すぐ, 副詞,助詞類接続,*,*,*,*,すぐ,スグ,スグ
業者, 名詞,一般,*,*,*,*,業者,ギョウシャ,ギョーシャ
訪れ, 動詞,自立,*,*,一段,連用形,訪れる,オトズレ,オトズレ
以外, 名詞,非自立,副詞可能,*,*,*,以外,イガイ,イガイ
ホジキンソン, 名詞,固有名詞,組織,*,*,*,*
落下, 名詞,サ変接続,*,*,*,*,落下,ラッカ,ラッカ
マクドナルド, 名詞,固有名詞,組織,*,*,*,マクドナルド,マクドナルド,マクドナルド
会見, 名詞,サ変接続,*,*,*,*,会見,カイケン,カイケン
軍, 名詞,接尾,一般,*,*,*,軍,グン,グン
各国, 名詞,一般,*,*,*,*,各国,カッコク,カッコク
最も, 副詞,一般,*,*,*,*,最も,モットモ,モットモ
緩和, 名詞,サ変接続,*,*,*,*,緩和,カンワ,カンワ
湾岸, 名詞,一般,*,*,*,*,湾岸,ワンガン,ワンガン
軍事境界線, 名詞,固有名詞,一般,*,*,*,軍事境界線,グンジキョウカイセン,グンジキョーカイセン
大, 接頭詞,名詞接続,*,*,*,*,大,ダイ,ダイ
英語, 名詞,一般,*,*,*,*,英語,エイゴ,エイゴ
FN, 名詞,固有名詞,一般,*,*,*,FN,エフエヌ,エフエヌ
指揮, 名詞,サ変接続,*,*,*,*,指揮,シキ,シキ
予想, 名詞,サ変接続,*,*,*,*,予想,ヨソウ,ヨソー
改善, 名詞,サ変接続,*,*,*,*,改善,カイゼン,カイゼン
入り, 名詞,接尾,サ変接続,*,*,*,入り,イリ,イリ
スプリンクラー, 名詞,一般,*,*,*,*,スプリンクラー,スプリンクラー,スプリンクラー
枠組み, 名詞,一般,*,*,*,*,枠組み,ワクグミ,ワクグミ
分, 名詞,接尾,助数詞,*,*,*,分,フン,フン
報道官, 名詞,固有名詞,一般,*,*,*,報道官,ホウドウカン,ホードーカン
管理会社, 名詞,固有名詞,一般,*,*,*,管理会社,カンリガイシャ,カンリガイシャ
連絡, 名詞,サ変接続,*,*,*,*,連絡,レンラク,レンラク
当初, 名詞,副詞可能,*,*,*,*,当初,トウショ,トーショ
s, 名詞,固有名詞,組織,*,*,*,*
つつ, 助詞,接続助詞,*,*,*,*,つつ,ツツ,ツツ
ＥＥＺ, 名詞,固有名詞,一般,*,*,*,EEZ,イーイーゼット,イーイーゼット
ＢＢＣ, 名詞,固有名詞,組織,*,*,*,BBC,ビービーシー,ビービーシー
ドイツ, 名詞,固有名詞,地域,国,*,*,ドイツ,ドイツ,ドイツ
午後, 名詞,副詞可能,*,*,*,*,午後,ゴゴ,ゴゴ
初, 名詞,一般,*,*,*,*,初,ハツ,ハツ
ロンドン警視庁, 名詞,固有名詞,一般,*,*,*,ロンドン警視庁,ロンドンケイシチョウ,ロンドンケイシチョー
5, 名詞,数,*,*,*,*,*
民主統一党, 名詞,固有名詞,一般,*,*,*,民主統一党,ミンシュトウイツトウ,ミンシュトーイツトー
Donald Trump, 名詞,固有名詞,人名,一般,*,*,ドナルド・トランプ,ドナルドトランプ,ドナルドトランプ
市長, 名詞,一般,*,*,*,*,市長,シチョウ,シチョー
殺害, 名詞,サ変接続,*,*,*,*,殺害,サツガイ,サツガイ
宣言, 名詞,サ変接続,*,*,*,*,宣言,センゲン,センゲン
取引, 名詞,サ変接続,*,*,*,*,取引,トリヒキ,トリヒキ
近隣住民, 名詞,固有名詞,一般,*,*,*,近隣住民,キンリンジュウミン,キンリンジューミン
